pattern_id,pattern_type,account
30,GATHER-SCATTER,0028531::80A7F7340
30,GATHER-SCATTER,01490::8004F4660
30,GATHER-SCATTER,0135981::80F984C70
30,GATHER-SCATTER,0014329::806DF1F70
30,GATHER-SCATTER,022775::802F3F8B0
30,GATHER-SCATTER,016788::803520BA0
30,GATHER-SCATTER,021940::80DFDC710
30,GATHER-SCATTER,013145::80D1ACBE0
30,GATHER-SCATTER,0015::80AD70170
30,GATHER-SCATTER,0236346::80E4A4620
30,GATHER-SCATTER,0219860::80B5B33D0
30,GATHER-SCATTER,0048526::812411030
30,GATHER-SCATTER,001124::805198780
30,GATHER-SCATTER,0225215::809852800
30,GATHER-SCATTER,0120691::81051FEB0
30,GATHER-SCATTER,0121415::80D2537C0
30,GATHER-SCATTER,0010344::808D193A0
30,GATHER-SCATTER,002467::801018DA0
31,FAN-IN,0119::812A09CF0
31,FAN-IN,0049365::812A09D40
32,STACK,021550::8019B81D0
32,STACK,01420::8002B9DE0
32,STACK,01547::80069E9E0
32,STACK,003123::801E72C20
32,STACK,001::800160AF0
32,STACK,021387::8013D2F20
32,STACK,001853::8010B21A0
32,STACK,012::8016FDD30
32,STACK,01547::8004FBC70
32,STACK,011318::80118E680
32,STACK,014077::8019E64E0
32,STACK,011471::8014322B0
32,STACK,012::800BA92A0
32,STACK,01502::800E79AE0
32,STACK,015055::801EFC5C0
32,STACK,023555::801D887E0
32,STACK,001853::8011EF080
32,STACK,002439::801010DF0
32,STACK,010::800164250
32,STACK,023::8001AEBF0
32,STACK,001299::800E44770
32,STACK,003242::8015CC830
32,STACK,01467::8010BC410
32,STACK,001068::8011F0870
32,STACK,006075::80241BD20
32,STACK,012::80016E400
32,STACK,01490::800ACC410
32,STACK,02915::801908010
32,STACK,001501::800981370
32,STACK,022::80030CC80
33,STACK,022::8020DDAF0
33,STACK,0229799::80AD2BB10
33,STACK,008798::80693AB90
33,STACK,001::800BA6480
33,STACK,0221374::80DB57310
33,STACK,016431::802D21780
33,STACK,018196::80DB0B9D0
33,STACK,029794::807962B90
33,STACK,01588::80820F1A0
33,STACK,01502::800637C70
33,STACK,0217959::8078A4130
33,STACK,001655::80832A480
33,STACK,0210690::8044969E0
33,STACK,0239604::80E5CF6B0
33,STACK,0222697::8085DD9A0
33,STACK,0017708::80DF46F20
33,STACK,0117999::80BBEDC60
33,STACK,016136::80484E640
33,STACK,0112064::805D535A0
33,STACK,0027954::80CC4B000
33,STACK,028::80A43F620
33,STACK,0217496::806C8A860
33,STACK,015916::805EB6DE0
33,STACK,0031253::80C379450
33,STACK,0013649::8099A7B50
33,STACK,005::800049680
33,STACK,015964::805331420
33,STACK,001267::8038F4190
33,STACK,011474::800DF3270
33,STACK,004726::803C0D4D0
33,STACK,012735::801260570
33,STACK,0020727::80C381B70
33,STACK,0028768::80A7B9290
34,GATHER-SCATTER,015231::80266F880
34,GATHER-SCATTER,023691::8021353D0
35,FAN-OUT,012::800550B60
35,FAN-OUT,012::80011F990
35,FAN-OUT,010::8001BB380
35,FAN-OUT,011::80022FC00
35,FAN-OUT,012::80017BE40
35,FAN-OUT,023::8000FBD00
35,FAN-OUT,011::8001D8590
35,FAN-OUT,010::80016DA30
35,FAN-OUT,023::8002185A0
35,FAN-OUT,022::8001A6870
35,FAN-OUT,020::8001B0770
36,STACK,015231::80266F880
36,STACK,023691::8021353D0
37,CYCLE,0028531::80A709C90
37,CYCLE,0132523::80CA77970
37,CYCLE,0223645::80FBCC760
37,CYCLE,0125906::80E11E6A0
37,CYCLE,011974::8011D4F20
37,CYCLE,004503::811A9BD00
37,CYCLE,014::8035765E0
38,CYCLE,0025113::8095F9B40
38,CYCLE,0236746::80F2C2FA0
39,BIPARTITE,016333::802CDC780
39,BIPARTITE,009482::80C3342B0
39,BIPARTITE,023::80C90BBB0
39,BIPARTITE,0116::80E870260
39,BIPARTITE,022::80BBEB320
39,BIPARTITE,022806::801FA10A0
39,BIPARTITE,004866::8066C49A0
39,BIPARTITE,0117698::80D4B5530
39,BIPARTITE,012::8001ADC70
39,BIPARTITE,001068::800FB1BD0
39,BIPARTITE,00220::8006619C0
39,BIPARTITE,003149::801BB70D0
39,BIPARTITE,0217824::806E9FF40
39,BIPARTITE,004866::8042509A0
39,BIPARTITE,0016733::80685EE50
39,BIPARTITE,0214308::80562E620
39,BIPARTITE,0214881::805652E00
39,BIPARTITE,0214::80A440100
39,BIPARTITE,022205::801A53C00
39,BIPARTITE,0113779::805593540
39,BIPARTITE,0010099::803DBA190
39,BIPARTITE,0025534::809627A80
39,BIPARTITE,0214621::8072203B0
39,BIPARTITE,001411::802DABCA0
39,BIPARTITE,002053::804AEF9C0
39,BIPARTITE,012719::80992E270
39,BIPARTITE,0017554::80705A0E0
39,BIPARTITE,0122545::80AAA1FE0
40,STACK,0050528::812D0C600
40,STACK,0148350::812D0C3C0
41,BIPARTITE,01547::8003541A0
41,BIPARTITE,011107::800E9F790
41,BIPARTITE,024850::801E4BEA0
41,BIPARTITE,002824::80147E520
41,BIPARTITE,02915::801F9F230
41,BIPARTITE,021174::801DA76D0
41,BIPARTITE,022736::8011A5230
41,BIPARTITE,013327::80172F250
42,FAN-OUT,0039678::80EEAAE70
42,FAN-OUT,015::803B24460
42,FAN-OUT,0014757::805E7CD20
42,FAN-OUT,0015040::806D34860
42,FAN-OUT,0034692::80CB24CD0
42,FAN-OUT,01132::80BEC50F0
42,FAN-OUT,014099::803322B20
42,FAN-OUT,0238845::80EACA880
42,FAN-OUT,0030380::80BC53290
42,FAN-OUT,005140::8052C3ED0
42,FAN-OUT,0240243::80EB88FD0
42,FAN-OUT,001::800320950
42,FAN-OUT,014290::807CD6A10
43,FAN-OUT,021387::800D92330
43,FAN-OUT,01547::8018FD630
43,FAN-OUT,00513::8005A1B80
43,FAN-OUT,02843::800A4B110
43,FAN-OUT,012::80026C1D0
43,FAN-OUT,024144::80268F1D0
43,FAN-OUT,00410::801EE9E40
43,FAN-OUT,022164::8015DADA0
43,FAN-OUT,02915::800A3C640
44,FAN-IN,0119::811C597B0
44,FAN-IN,0048309::811C599A0
44,FAN-IN,0150240::812D22980
44,FAN-IN,0222::811B83280
45,SCATTER-GATHER,01588::80042AC60
45,SCATTER-GATHER,001::80044E450
45,SCATTER-GATHER,01420::80062C960
45,SCATTER-GATHER,01292::8006D7690
45,SCATTER-GATHER,01674::8003B8230
45,SCATTER-GATHER,00908::800957210
45,SCATTER-GATHER,011::8009636A0
45,SCATTER-GATHER,01522::80055F090
45,SCATTER-GATHER,01665::80054CAB0
46,GATHER-SCATTER,027637::80B434CB0
46,GATHER-SCATTER,003051::80D45D750
46,GATHER-SCATTER,0117143::806D8E300
46,GATHER-SCATTER,0023673::81207D280
46,GATHER-SCATTER,0114185::80585B760
46,GATHER-SCATTER,001916::803CFE980
46,GATHER-SCATTER,024515::80388CD20
46,GATHER-SCATTER,0218267::810FEDB90
46,GATHER-SCATTER,0245748::811273830
46,GATHER-SCATTER,016643::805316300
46,GATHER-SCATTER,0120046::808A05220
46,GATHER-SCATTER,011657::800D7DDB0
46,GATHER-SCATTER,0223641::810D07D20
46,GATHER-SCATTER,013037::803509D50
46,GATHER-SCATTER,0014254::808A4BBD0
46,GATHER-SCATTER,003489::80BA962E0
46,GATHER-SCATTER,028255::809361700
46,GATHER-SCATTER,018196::807FDA6D0
46,GATHER-SCATTER,0113::8113C2470
46,GATHER-SCATTER,027637::8098BC930
46,GATHER-SCATTER,011904::803197B30
46,GATHER-SCATTER,010::800750120
46,GATHER-SCATTER,012::804BB6430
46,GATHER-SCATTER,021174::801977590
46,GATHER-SCATTER,004503::8067AD800
46,GATHER-SCATTER,0029435::8115C79B0
46,GATHER-SCATTER,019318::8106B1750
47,FAN-OUT,015231::80266F880
47,FAN-OUT,023691::8021353D0
48,GATHER-SCATTER,001457::80E6A81F0
48,GATHER-SCATTER,021918::8077CEBE0
48,GATHER-SCATTER,013858::802E5E710
48,GATHER-SCATTER,011107::80286F5F0
48,GATHER-SCATTER,0213005::804B9FA50
48,GATHER-SCATTER,01547::811611D00
48,GATHER-SCATTER,0214615::8075AC7C0
48,GATHER-SCATTER,027684::80314D0C0
48,GATHER-SCATTER,028::80615F190
48,GATHER-SCATTER,0214::80C5BF860
48,GATHER-SCATTER,0136334::80D71C940
48,GATHER-SCATTER,016388::8063F1030
48,GATHER-SCATTER,0128557::80A937600
48,GATHER-SCATTER,005464::8026D5C10
48,GATHER-SCATTER,0218502::80705A7B0
48,GATHER-SCATTER,021918::810E74260
48,GATHER-SCATTER,012::801812250
48,GATHER-SCATTER,021611::80B81F350
48,GATHER-SCATTER,016109::80451C2E0
48,GATHER-SCATTER,020::802FDD680
48,GATHER-SCATTER,0146713::811A18940
48,GATHER-SCATTER,002824::806A8A380
48,GATHER-SCATTER,0215841::80E05A280
48,GATHER-SCATTER,0010344::806861BF0
48,GATHER-SCATTER,0210690::809ABFB20
48,GATHER-SCATTER,0132445::810DDAA00
48,GATHER-SCATTER,0024161::809F5BDC0
48,GATHER-SCATTER,0025202::8096C6720
48,GATHER-SCATTER,01588::80E6C34F0
49,FAN-OUT,02915::802591FE0
49,FAN-OUT,024515::80EBB2100
49,FAN-OUT,0111764::8091C3710
49,FAN-OUT,001::800A8C770
49,FAN-OUT,008354::80DF9F310
49,FAN-OUT,016871::80C28C050
49,FAN-OUT,019474::810186B20
49,FAN-OUT,026580::807BFEFC0
49,FAN-OUT,0223635::8096E38C0
49,FAN-OUT,011974::8081B28A0
50,FAN-OUT,018511::804529040
50,FAN-OUT,005::80769F1A0
50,FAN-OUT,0132306::811A9BD50
50,FAN-OUT,004866::8020BC410
50,FAN-OUT,011474::800BFCD30
51,FAN-OUT,0048309::811C599A0
51,FAN-OUT,0150240::812D22980
51,FAN-OUT,0222::811B83280
52,BIPARTITE,001669::80526F4E0
52,BIPARTITE,007548::802DD7890
52,BIPARTITE,0137218::80E290080
52,BIPARTITE,00908::8006E4A40
52,BIPARTITE,013516::8014FA230
52,BIPARTITE,0121580::807E86500
52,BIPARTITE,0115656::80D476950
52,BIPARTITE,001501::800D75DA0
52,BIPARTITE,0018405::806D9B280
52,BIPARTITE,010::8011D5060
52,BIPARTITE,00908::8012BD570
52,BIPARTITE,017732::8066CFF40
53,SCATTER-GATHER,0119::812A09CF0
53,SCATTER-GATHER,0049365::812A09D40
54,SCATTER-GATHER,0010404::807AD0240
54,SCATTER-GATHER,016431::8031508A0
54,SCATTER-GATHER,0016649::80614A030
54,SCATTER-GATHER,027920::811B0AE50
54,SCATTER-GATHER,0111631::80A38F130
55,BIPARTITE,0111764::807193CC0
55,BIPARTITE,015010::80B309660
55,BIPARTITE,0110603::80B260AE0
55,BIPARTITE,0121580::8080FB6B0
55,BIPARTITE,011157::800FB6D00
55,BIPARTITE,012513::80181D8D0
55,BIPARTITE,0024941::8091A9AE0
55,BIPARTITE,013037::806800100
55,BIPARTITE,005365::8094098D0
55,BIPARTITE,001267::8028D57C0
55,BIPARTITE,0227859::80E130380
55,BIPARTITE,0110::80CE3D700
55,BIPARTITE,010::8002C7A50
55,BIPARTITE,0119::810088D50
55,BIPARTITE,0220541::807C36910
55,BIPARTITE,022828::8030DF720
55,BIPARTITE,016::8054D6140
55,BIPARTITE,0212::80767CAF0
55,BIPARTITE,0044650::8109F5680
55,BIPARTITE,02591::8003159D0
55,BIPARTITE,014325::804E76250
55,BIPARTITE,015010::80278F960
56,STACK,003::802A4BBD0
56,STACK,0111425::806B1F6F0
56,STACK,0019777::8078DFC60
56,STACK,02915::80F2BFA30
56,STACK,0033245::80C84A040
56,STACK,0249118::811EA7B80
56,STACK,028694::80709E010
56,STACK,0113779::8090E9B70
56,STACK,013858::801FE25A0
56,STACK,0022575::8086E0A20
56,STACK,0010057::803FEFF90
56,STACK,0219805::80A671210
56,STACK,0137972::811A12A90
56,STACK,0025113::809292360
56,STACK,007548::80557A9D0
56,STACK,027140::80331DE30
56,STACK,0218638::806B66F00
56,STACK,024132::803CB3490
57,STACK,003::8007C82A0
57,STACK,023555::8021CF080
57,STACK,013554::8014E85C0
58,BIPARTITE,0119::812A09CF0
58,BIPARTITE,0049365::812A09D40
59,STACK,003420::80292C690
59,STACK,0128737::80AD1F390
59,STACK,0238190::80E4FDA80
60,STACK,004::806D922C0
60,STACK,0220271::80A885E10
60,STACK,011107::805E124A0
60,STACK,0214::80C1ED8D0
60,STACK,0110::80CC9C960
60,STACK,016254::8028B70E0
60,STACK,0014838::8058F18D0
60,STACK,027::80CA50CE0
60,STACK,0133490::80FEDCCD0
60,STACK,004::80E435B80
60,STACK,029404::80373C140
60,STACK,008539::80C803F50
60,STACK,0217125::806B445D0
60,STACK,0036056::811A0FA00
60,STACK,008::80009F920
60,STACK,0112497::804A30000
60,STACK,0126984::80EADAC60
60,STACK,0120193::80CEC9B70
60,STACK,0219449::80DEB15D0
60,STACK,009665::80B19AF00
60,STACK,012735::8022C5CF0
60,STACK,0112212::8068E42C0
60,STACK,014663::8071AF070
60,STACK,0113935::8077C0760
60,STACK,0119::80FD88340
60,STACK,0228597::810499990
60,STACK,011852::800E3F5A0
60,STACK,007::805C8AC70
60,STACK,0025749::80B2250B0
60,STACK,0227080::811D3FB50
60,STACK,019::809CE12E0
60,STACK,023691::8089009F0
60,STACK,0016678::8061A6010
60,STACK,0129974::80C6E9A60
60,STACK,01665::804675CF0
60,STACK,0135104::80CFC2BB0
60,STACK,0115::80D604BC0
60,STACK,0115415::80B82EF40
60,STACK,0010::806C62690
60,STACK,0024922::80931DDE0
60,STACK,0213137::80D52F130
60,STACK,0111425::80EE5F840
60,STACK,018428::807919990
60,STACK,001124::8065C8A80
60,STACK,004766::802E7CA30
61,CYCLE,015231::80266F880
61,CYCLE,023691::8021353D0
62,CYCLE,023::8102CA2C0
62,CYCLE,029::80CF37D80
62,CYCLE,01522::8012F9500
62,CYCLE,0025960::80AC28E60
62,CYCLE,009679::8040FAF80
62,CYCLE,015231::803A568D0
63,SCATTER-GATHER,024850::8028DCAE0
63,SCATTER-GATHER,0213737::8055F7FF0
63,SCATTER-GATHER,018097::803144A90
63,SCATTER-GATHER,014650::801EA1CE0
63,SCATTER-GATHER,0287::806482430
63,SCATTER-GATHER,0117999::8069E9C80
63,SCATTER-GATHER,012719::80227FC50
63,SCATTER-GATHER,020::80102A1F0
63,SCATTER-GATHER,0112931::805D4C850
63,SCATTER-GATHER,021745::803366440
63,SCATTER-GATHER,0022091::808728C10
63,SCATTER-GATHER,015723::8027CB4E0
63,SCATTER-GATHER,001::800B047D0
63,SCATTER-GATHER,0217125::80636A7A0
63,SCATTER-GATHER,0116843::806F416F0
63,SCATTER-GATHER,016136::80605A3E0
63,SCATTER-GATHER,0021615::8036AE1C0
64,CYCLE,0148350::812D0C3C0
